number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,state
28,-0.5,2025-08-04 16:22:23.269300,2025-08-04 16:22:23.317528,0 days 00:00:00.048228,0.5884699850150699,6,0.4650023105130875,0.15465207074489853,20,154,2.72496207842124,2.251200753133194,COMPLETE
29,-0.5,2025-08-04 16:22:23.318675,2025-08-04 16:22:23.380054,0 days 00:00:00.061379,0.44144941003529453,7,0.537944700593928,0.0813835369029577,76,103,3.9230084695647585,0.0845006086034386,COMPLETE
30,-0.5,2025-08-04 16:22:23.381236,2025-08-04 16:22:23.431278,0 days 00:00:00.050042,0.4875877740444171,4,0.6381648409165034,0.21114126510917638,45,58,1.785718154491613,0.9987501007955134,COMPLETE
31,-1.0,2025-08-04 16:22:23.432279,2025-08-04 16:22:23.520153,0 days 00:00:00.087874,0.5364093679904505,7,0.4706392023336648,0.1755388430788068,6,212,2.1999022412833145,2.713945171468665,COMPLETE
32,-0.5,2025-08-04 16:22:23.521512,2025-08-04 16:22:23.572697,0 days 00:00:00.051185,0.4881615725626871,7,0.4299145392764577,0.25123200159405323,10,230,0.6426101857989814,2.375622287714032,COMPLETE
33,-1.0,2025-08-04 16:22:23.573828,2025-08-04 16:22:23.637763,0 days 00:00:00.063935,0.5652712242185012,6,0.5114147782136755,0.18754120072638036,5,78,1.5919212422250029,1.6933315386971928,COMPLETE
34,-0.5,2025-08-04 16:22:23.639138,2025-08-04 16:22:23.704936,0 days 00:00:00.065798,0.6302399046312385,7,0.5907226065983564,0.25085947620432414,20,178,5.848310844082999,4.547626187556537,COMPLETE
35,-0.5,2025-08-04 16:22:23.706312,2025-08-04 16:22:23.997270,0 days 00:00:00.290958,0.7064872827898019,6,0.4457508117177529,0.26928379373014766,11,121,2.1295160661188928,5.721387306832842,COMPLETE
36,-0.5,2025-08-04 16:22:23.998550,2025-08-04 16:22:24.049852,0 days 00:00:00.051302,0.65316055695883,5,0.9189490178654487,0.23273055843977797,23,295,3.1540544358200346,3.106206170234383,COMPLETE
37,-0.5,2025-08-04 16:22:24.051010,2025-08-04 16:22:24.102032,0 days 00:00:00.051022,0.5238882249202844,7,0.5713056480365754,0.04427620811894127,33,198,0.43367760322902676,0.6333921392139185,COMPLETE
38,-0.5,2025-08-04 16:22:24.103238,2025-08-04 16:22:24.152556,0 days 00:00:00.049318,0.8942134838874789,3,0.5262112171925662,0.29194604576584915,9,88,7.822575494248279,1.7187540381899762,COMPLETE
39,-0.5,2025-08-04 16:22:24.153944,2025-08-04 16:22:24.202450,0 days 00:00:00.048506,0.516327581376762,6,0.4067416278236348,0.12256024843287096,51,274,1.8123374815906017,2.754706409895782,COMPLETE
40,-0.5,2025-08-04 16:22:24.203475,2025-08-04 16:22:24.261769,0 days 00:00:00.058294,0.5927524367957515,2,0.6572683637957766,0.149834881699148,17,227,3.7306287023966576,3.664825562162955,COMPLETE
41,-1.0,2025-08-04 16:22:24.263092,2025-08-04 16:22:24.381858,0 days 00:00:00.118766,0.72033646481255,4,0.5938989894242476,0.08326409151882157,5,29,1.1317772032813829,0.07980665875583748,COMPLETE
42,-0.5,2025-08-04 16:22:24.383218,2025-08-04 16:22:24.436621,0 days 00:00:00.053403,0.8257446471884909,4,0.7308185405755633,0.07405155581833069,11,23,1.259468206808211,0.48756927769628045,COMPLETE
43,-0.5,2025-08-04 16:22:24.437621,2025-08-04 16:22:24.492235,0 days 00:00:00.054614,0.6738804742822695,4,0.6070230925259342,0.03883587789352611,25,46,0.7881662286644822,0.9636968519652995,COMPLETE
44,-1.0,2025-08-04 16:22:24.493416,2025-08-04 16:22:24.587992,0 days 00:00:00.094576,0.8648869300729805,5,0.5668949763091632,0.05925229416082363,5,15,2.7310902257734155,0.03159916685339344,COMPLETE
45,-1.0,2025-08-04 16:22:24.589337,2025-08-04 16:22:24.652032,0 days 00:00:00.062695,0.7431988010699468,3,0.49401563470447313,0.11022729598519654,10,38,0.2731689428930577,1.3584699925102859,COMPLETE
46,-0.5,2025-08-04 16:22:24.653157,2025-08-04 16:22:24.707080,0 days 00:00:00.053923,0.9320357221435858,5,0.7005446156708426,0.22276719960739155,17,62,1.8592279797995561,2.109075854657568,COMPLETE
47,-0.5,2025-08-04 16:22:24.708038,2025-08-04 16:22:24.756680,0 days 00:00:00.048642,0.7131384760811502,3,0.9954530212788528,0.08947985528431479,65,171,2.4979983598770623,0.8546282415694785,COMPLETE
48,-0.5,2025-08-04 16:22:24.757816,2025-08-04 16:22:24.859379,0 days 00:00:00.101563,0.7971022533431347,4,0.8294461754803453,0.030049136984077948,91,140,4.413550900679892,6.95560966071425,COMPLETE
49,-0.5,2025-08-04 16:22:24.860297,2025-08-04 16:22:24.926918,0 days 00:00:00.066621,0.6545623978192375,4,0.6636651631070862,0.14075191095809195,13,87,3.1465983323014637,0.4184561825536428,COMPLETE
